Link,Bookshelf,Type_Bookshelf,Category,Sub_Category,Book_name,Quantity_Sold,Undiscounted_price,Discounted_price,Percent_discount,Time_Delivery,Shipping_fee,Bookstore
Combo 2 cuốn kỹ năng làm việc số 1: Đọc Vị Bất Kỳ Ai + Giao Tiếp Bất Kỳ Ai (tặng kèm bookmark PĐ)Đã bán 1113.900 ₫-15%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Combo 2 cuốn kỹ năng làm việc số 1: Đọc Vị Bất Kỳ Ai + Giao Tiếp Bất Kỳ Ai (tặng kèm bookmark PĐ),Đã bán 1,134.000 ₫,113.900 ₫,-15%,"Thứ 4, ngày 25/0510.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 16 ASA",10.000đ (Freeship 30K đh 149K),SÁCH NGHÉ
Bất Động Sản Căn Bản (Tái Bản 2018)Đã bán 73125.000 ₫-37%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Bất Động Sản Căn Bản (Tái Bản 2018),Đã bán 73,199.000 ₫,125.000 ₫,-37%,"Thứ 3, ngày 24/0514.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA",14.000đ (Freeship 30K đh 149K),Nhà sách Fahasa
Tôi Tài Giỏi - Bạn Cũng Thế (Tái Bản 2020)Đã bán 625105.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Tôi Tài Giỏi - Bạn Cũng Thế (Tái Bản 2020),Đã bán 625,0,105.000 ₫,0,"Thứ 4, ngày 25/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,trungthanh2018
GIAO SIÊU TỐC 2HNghệ Thuật Từ Chối – Cách Nói Không Mà Vẫn Có Được Đồng ThuậnĐã bán 1000+51.460 ₫-37%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Nghệ Thuật Từ Chối – Cách Nói Không Mà Vẫn Có Được Đồng Thuận,Đã bán 1000+,82.000 ₫,51.460 ₫,-37%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Con Đường Tơ Lụa Mới - Hiện Tại Và Tương lai Của Thế Giới MớiĐã bán 6130.000 ₫-38%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Con Đường Tơ Lụa Mới - Hiện Tại Và Tương lai Của Thế Giới Mới,Đã bán 6,209.000 ₫,130.000 ₫,-38%,"Thứ 7, ngày 28/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,Trạm đọc
GIAO SIÊU TỐC 2HĐể Hiệu Quả Trong Công Việc (Tái Bản 2019)Đã bán 1000+41.100 ₫-21%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Để Hiệu Quả Trong Công Việc (Tái Bản 2019),Đã bán 1000+,52.000 ₫,41.100 ₫,-21%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản)Đã bán 4668.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,7 Chiến Lược Thịnh Vượng Và Hạnh Phúc (Tái Bản),Đã bán 46,0,68.000 ₫,0,"Thứ 7, ngày 28/0518.000đ (Freeship 1K đh 249K)Freeship 100% chỉ với 30 ASA",18.000đ (Freeship 1K đh 249K),Times Books
Combo Sách Kinh Tế và Kỹ Năng Làm Việc Hay: Hiểu Sâu Nghĩ Thấu + Fỉnh Fờ Lũ Ngốc – Kinh Tế Học Thao Túng Và Bịp Bợm / Phá Bỏ Lớp Bọc Của Sự Ngụy Biện và Nắm Bắt Động Cơ Thực Thụ244.400 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Combo Sách Kinh Tế và Kỹ Năng Làm Việc Hay: Hiểu Sâu Nghĩ Thấu + Fỉnh Fờ Lũ Ngốc – Kinh Tế Học Thao Túng Và Bịp Bợm / Phá Bỏ Lớp Bọc Của Sự Ngụy Biện và Nắm Bắt Động Cơ Thực Thụ,0,0,244.400 ₫,0,"Thứ 7, ngày 28/050đ (đã trừ 18K Freeship)",0đ (đã trừ 18K Freeship),AHABOOKS
GIAO SIÊU TỐC 2H20 Năm Lịch Sử Thị Trường Chứng Khoán Việt Nam (Bìa Cứng)Đã bán 1000+185.000 ₫-31%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",20 Năm Lịch Sử Thị Trường Chứng Khoán Việt Nam (Bìa Cứng),Đã bán 1000+,269.000 ₫,185.000 ₫,-31%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Rbooks Corp
GIAO SIÊU TỐC 2HTuần Làm Việc 4 Giờ (Tái Bản)Đã bán 1000+78.500 ₫-32%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Tuần Làm Việc 4 Giờ (Tái Bản),Đã bán 1000+,115.000 ₫,78.500 ₫,-32%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2H#Hashtag 03: Retail - Khởi Sự Kinh Doanh Ngành Bán LẻĐã bán 1000+154.000 ₫-30%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách khởi nghiệp,#Hashtag 03: Retail - Khởi Sự Kinh Doanh Ngành Bán Lẻ,Đã bán 1000+,220.000 ₫,154.000 ₫,-30%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Tạo Dựng Thương Hiệu Cá NhânĐã bán 28250.000 ₫-44%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Tạo Dựng Thương Hiệu Cá Nhân,Đã bán 282,89.000 ₫,50.000 ₫,-44%,"Thứ 3, ngày 24/0514.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA",14.000đ (Freeship 30K đh 149K),Nhà sách Fahasa
GIAO SIÊU TỐC 2HThink And Grow Rich - Nghĩ Giàu Và Làm GiàuĐã bán 1000+80.300 ₫-27%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Đã bán 1000+,110.000 ₫,80.300 ₫,-27%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
